"","address","bedroom","bathroom","carspace","soldprice","yearsold"
"355","8/59-61 Lavinia Street Merrylands 2160",3,2,1,315000,2009-07-09
"356","24/58 Lansdowne Street Merrylands 2160",3,2,2,395000,2009-06-23
"357","24/58 Lansdowne Street Merrylands 2160",3,2,2,395000,2009-06-23
"358","26/59 Neil Street Merrylands 2160",2,1,1,260000,2009-04-01
"359","10/17 Willara Avenue Merrylands 2160",2,1,1,280000,2009-03-01
"360","4/158 Railway Terrace Merrylands 2160",3,3,2,408000,2009-03-01
"361","17/58 Lansdowne Street Merrylands 2160",3,2,2,385000,2009-02-27
"362","6/14 Wright Street Merrylands 2160",2,1,1,330000,2009-02-16
"363","27/58 Lansdowne Street Merrylands 2160",3,2,3,395000,2009-02-01
"364","15A Norman Street Merrylands 2160",3,2,1,450000,2009-02-01
"365","6/10 Rickard Street Merrylands 2160",3,2,1,352000,2009-02-01
"366","9/529 Merrylands Road Merrylands 2160",3,2,1,340000,2009-02-01
"367","28/58 Lansdowne Street Merrylands 2160",3,2,2,375000,2009-01-16
"368","2/9-11 Kimberley Street Merrylands 2160",2,2,1,312000,2009-01-15
"369","7/12 Bradman Street Merrylands 2160",3,2,2,365000,2009-01-01
"370","14 Smythe Merrylands 2160",3,2,1,425000,2008-12-01
"371","1/102-106 Lackey Street Merrylands 2160",2,1,1,3e+05,2008-10-29
"372","4/102 LACKEY STREET Merrylands 2160",3,2,2,305000,2008-10-25
"373","2/9-11 Kimberley Street Merrylands 2160",2,2,1,310000,2008-09-11
"374","3/9-11 Kimberley Street Merrylands 2160",2,2,NA,310000,2008-09-11
"375","2/1-3 Willara Avenue Merrylands 2160",3,1,1,651550,2008-09-01
"376","79A CHETWYND ROAD Merrylands 2160",3,1,1,347000,2008-09-01
"377","4/7 Park Street Merrylands 2160",3,2,1,335000,2008-08-01
"378","1/34 Richardson Street Merrylands 2160",3,2,1,361000,2008-08-01
"379","11/102-106 Lackey Street Merrylands 2160",3,3,2,3e+05,2008-07-25
"380","10/102-106 Lackey Street Merrylands 2160",3,2,2,320000,2008-07-14
"381","1/22 Richardson Street Merrylands 2160",3,2,1,312000,2008-05-01
"382","6/7 Ellis Street Merrylands 2160",3,2,2,310000,2008-04-01
"383","1/16 Rickard Street Merrylands 2160",3,3,1,367000,2008-03-01
"384","8/35 Clarence Street Merrylands 2160",2,1,1,329500,2008-03-01
"385","4/126 John Street Merrylands 2160",3,2,1,353000,2007-12-01
"386","2/23 Hawksview Street Merrylands 2160",3,2,2,355000,2007-12-01
"387","8/9 Kimberley Street Merrylands 2160",3,2,2,375000,2007-11-01
"388","4/59 Lavinia Street Merrylands 2160",3,2,2,365000,2007-11-01
"389","5/12 Bradman Street Merrylands 2160",2,2,2,333000,2007-11-01
"390","79 Chetwynd Road Merrylands 2160",3,2,1,540000,2007-10-01
"391","3/352 Merrylands Road Merrylands 2160",2,1,1,3e+05,2007-08-01
"392","4/19 Ellis Street Merrylands 2160",2,1,1,343500,2007-08-01
"393","9/102 Lackey Street Merrylands 2160",3,2,2,440000,2007-08-01
"394","5/22 Park Street Merrylands 2160",3,2,2,335000,2007-08-01
"395","5/25 Holdsworth Street Merrylands 2160",2,2,1,309000,2007-07-01
"396","3/12 Bradman Street Merrylands 2160",2,2,2,337000,2007-07-01
"397","5/41 Chetwynd Road Merrylands 2160",3,2,2,315000,2007-07-01
"398","3/3 Manchester Street Merrylands 2160",3,1,2,341500,2007-03-01
"399","5/21 Yeend Street Merrylands 2160",2,1,1,305000,2007-02-01
"400","9/352 Merrylands Road Merrylands 2160",2,1,1,295000,2007-01-01
"401","6/7 Park Street Merrylands 2160",2,1,1,275000,2006-11-01
"402","18/58 Lansdowne Street Merrylands 2160",3,2,2,365000,2006-11-01
"403","6/12 Bradman Street Merrylands 2160",3,3,2,350000,2006-10-01
"404","2/3 Manchester Street Merrylands 2160",3,1,1,625000,2006-08-01
"405","3/7 Ellis Street Merrylands 2160",3,2,2,350000,2006-07-01
"406","4/12 Bradman Street Merrylands 2160",2,2,2,350000,2006-05-01
"407","1/7 Park Street Merrylands 2160",2,1,1,290000,2006-05-01
"408","1/25 Holdsworth Street Merrylands 2160",2,2,1,305000,2006-04-01
"409","160 Railway Terrace Merrylands 2160",3,2,2,1200000,2006-03-01
"410","158 Railway Terrace Merrylands 2160",3,2,2,1200000,2006-03-01
"411","6/126 John Street Merrylands 2160",3,2,2,385000,2006-03-01
"412","4/36 Derby Street Merrylands 2160",2,1,1,552248,2006-03-01
"413","9/6 Addlestone Road Merrylands 2160",3,1,1,320000,2006-01-01
"414","33 Claremont Street Merrylands 2160",2,2,1,482750,2005-10-01
"415","35 Claremont Street Merrylands 2160",2,2,1,482750,2005-10-01
"416","2/14 Wright Street Merrylands 2160",2,1,1,320000,2005-08-01
"417","2/15 Willara Avenue Merrylands 2160",4,2,2,350000,2005-08-01
"418","1/117 John Street Merrylands 2160",4,2,2,395000,2005-07-01
"419","8/16 Rickard Street Merrylands 2160",3,3,1,320000,2005-06-01
"420","4/22 Hilltop Road Merrylands 2160",3,2,NA,338000,2005-06-01
"421","39 Chetwynd Road Merrylands 2160",3,2,2,620000,2005-04-01
"422","5/71 Lavinia Street Merrylands 2160",2,2,1,325000,2005-03-01
"423","1/3 Manchester Street Merrylands 2160",3,2,1,4e+05,2005-03-01
"424","26/58 Lansdowne Street Merrylands 2160",3,NA,NA,380000,2005-02-01
"425","5/85 Chetwynd Road Merrylands 2160",3,1,1,570000,2005-02-01
"426","6 Mills Street Merrylands 2160",3,1,1,435000,2005-01-01
"427","2/13 Hawksview Street Merrylands 2160",3,1,1,360000,2004-10-01
"428","113 Lackey Street Merrylands 2160",3,2,2,6e+05,2004-09-01
"429","32/58 Lansdowne Street Merrylands 2160",3,2,2,419000,2004-06-01
"430","1/17 Lansdowne Street Merrylands 2160",3,NA,NA,375000,2004-06-01
"431","3/36 Derby Street Merrylands 2160",2,1,1,304000,2004-06-01
"432","19/59 Neil Street Merrylands 2160",2,1,1,246000,2004-05-01
"433","20B Richardson Street Merrylands 2160",3,1,1,424000,2004-04-01
"434","20/58 Lansdowne Street Merrylands 2160",2,2,1,625000,2004-03-01
"435","13/58 Lansdowne Street Merrylands 2160",3,2,1,683010,2004-03-01
"436","1/10 Rickard Street Merrylands 2160",3,NA,NA,372000,2004-02-01
"437","6/1 Willara Avenue Merrylands 2160",3,2,1,367000,2004-01-01
"438","10/12 Cambridge Street Merrylands 2160",2,1,1,257200,2004-01-01
"439","14 Smythe Street Merrylands 2160",3,2,1,6e+05,2003-12-01
"440","14/58 Lansdowne Street Merrylands 2160",2,2,2,610000,2003-11-01
"441","9/58 Lansdowne Street Merrylands 2160",3,2,2,415000,2003-11-01
"442","26C Walker Street Merrylands 2160",2,1,1,590000,2003-10-01
"443","2/19 Ellis Street Merrylands 2160",3,NA,NA,352000,2003-10-01
"444","8/10 Rickard Street Merrylands 2160",2,NA,NA,340000,2003-10-01
"445","2/20 Ellis Street Merrylands 2160",3,NA,NA,362500,2003-10-01
"446","5/6 Addlestone Road Merrylands 2160",3,1,1,330000,2003-09-08
"447","6/41 Chetwynd Road Merrylands 2160",3,2,NA,418000,2003-08-01
"448","4/529 Merrylands Road Merrylands 2160",3,2,1,354000,2003-07-01
"449","9/19 Ellis Street Merrylands 2160",3,NA,NA,349000,2003-07-01
"450","2/35 Clarence Street Merrylands 2160",3,2,1,361000,2003-07-01
"451","56 Myall Street Merrylands 2160",4,3,1,945000,2003-03-01
"452","25/59 Neil Street Merrylands 2160",2,1,1,230000,2003-02-01
"453","1/95 Clarence Street Merrylands 2160",3,1,1,313000,2003-02-01
"454","5/36 Manchester Street Merrylands 2160",3,2,NA,290000,2002-11-01
"455","4/49 Burnett Street Merrylands 2160",2,1,1,950000,2002-06-01
"456","26 Walker Street Merrylands 2160",2,1,NA,5e+05,2002-05-01
"457","6/26 Military Road Merrylands 2160",3,1,1,510000,2002-05-01
"458","8/34 Addlestone Road Merrylands 2160",2,1,NA,185000,2002-04-01
"459","6/35 Clarence Street Merrylands 2160",2,1,1,285000,2002-04-01
"460","4 Gladstone Street Merrylands 2160",3,2,2,575000,2002-04-01
"461","1/36 Derby Street Merrylands 2160",2,NA,NA,2e+05,2002-01-01
"462","6/16 Rickard Street Merrylands 2160",2,1,1,295000,2002-01-01
"463","3/16 Rickard Street Merrylands 2160",2,1,1,305000,2001-12-01
"464","12/16 Rickard Street Merrylands 2160",3,2,1,335000,2001-12-01
"465","2/10 Rickard Street Merrylands 2160",2,1,1,248000,2001-11-01
"466","5/16 Rickard Street Merrylands 2160",3,1,1,339000,2001-09-01
"467","6/9-11 Kimberley Street Merrylands 2160",3,2,2,147500,2001-09-01
